[Sun Jun 07 14:01:25.343944 2020] [:error] [pid 4840:tid 952] [client ::1:52620] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:01:31.610215 2020] [:error] [pid 4840:tid 956] [client ::1:52625] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 6, referer: http://localhost/save_user.php
[Sun Jun 07 14:02:32.437307 2020] [:error] [pid 4840:tid 952] [client ::1:52626] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:02:32.437307 2020] [:error] [pid 4840:tid 952] [client ::1:52626] PHP Notice:  Undefined index: login in E:\\Server\\htdocs\\www\\testreg.php on line 32, referer: http://localhost/index.php
[Sun Jun 07 14:02:32.437307 2020] [:error] [pid 4840:tid 952] [client ::1:52626] PHP Notice:  Undefined index: id in E:\\Server\\htdocs\\www\\testreg.php on line 33, referer: http://localhost/index.php
[Sun Jun 07 14:13:29.608089 2020] [:error] [pid 4840:tid 956] [client ::1:52672] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:13:29.616086 2020] [:error] [pid 4840:tid 956] [client ::1:52672] PHP Notice:  Undefined index: login in E:\\Server\\htdocs\\www\\testreg.php on line 32, referer: http://localhost/index.php
[Sun Jun 07 14:13:29.616086 2020] [:error] [pid 4840:tid 956] [client ::1:52672] PHP Notice:  Undefined index: id in E:\\Server\\htdocs\\www\\testreg.php on line 33, referer: http://localhost/index.php
[Sun Jun 07 14:13:39.941347 2020] [:error] [pid 4840:tid 952] [client ::1:52676] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:13:39.949348 2020] [:error] [pid 4840:tid 952] [client ::1:52676] PHP Notice:  Undefined index: login in E:\\Server\\htdocs\\www\\testreg.php on line 32, referer: http://localhost/index.php
[Sun Jun 07 14:13:39.949348 2020] [:error] [pid 4840:tid 952] [client ::1:52676] PHP Notice:  Undefined index: id in E:\\Server\\htdocs\\www\\testreg.php on line 33, referer: http://localhost/index.php
[Sun Jun 07 14:14:36.932008 2020] [:error] [pid 4840:tid 952] [client ::1:52710] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:14:36.940008 2020] [:error] [pid 4840:tid 952] [client ::1:52710] PHP Notice:  Undefined index: login in E:\\Server\\htdocs\\www\\testreg.php on line 32, referer: http://localhost/index.php
[Sun Jun 07 14:14:36.940008 2020] [:error] [pid 4840:tid 952] [client ::1:52710] PHP Notice:  Undefined index: id in E:\\Server\\htdocs\\www\\testreg.php on line 33, referer: http://localhost/index.php
[Sun Jun 07 14:15:20.932432 2020] [:error] [pid 4840:tid 956] [client ::1:52713] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in E:\\Server\\htdocs\\www\\bd.php on line 2, referer: http://localhost/index.php
[Sun Jun 07 14:15:20.932432 2020] [:error] [pid 4840:tid 956] [client ::1:52713] PHP Notice:  Undefined index: login in E:\\Server\\htdocs\\www\\testreg.php on line 32, referer: http://localhost/index.php
[Sun Jun 07 14:15:20.932432 2020] [:error] [pid 4840:tid 956] [client ::1:52713] PHP Notice:  Undefined index: id in E:\\Server\\htdocs\\www\\testreg.php on line 33, referer: http://localhost/index.php
